threshold,precision,recall,f1_score,total_records,predicted_matches,predicted_non_matches,execution_time_seconds
0.1,0.9056,0.979,0.9409,2194,1186,1008,0.0168
0.2,0.9841,0.9034,0.942,2194,1007,1187,0.0296
0.3,0.9963,0.7293,0.8421,2194,803,1391,0.0225
0.4,0.9983,0.5479,0.7075,2194,602,1592,0.0101
0.5,1.0,0.3865,0.5575,2194,424,1770,0.0115
0.6,1.0,0.1951,0.3265,2194,214,1980,0.0127
0.7,1.0,0.1121,0.2016,2194,123,2071,0.0164
0.8,1.0,0.0374,0.0721,2194,41,2153,0.0139
0.9,1.0,0.0109,0.0216,2194,12,2182,0.0126
1.0,1.0,0.01,0.0199,2194,11,2183,0.0129
