idAbt,idBuy,id_abt,name_abt,description_abt,price_abt,id_buy,name_buy,description_buy,manufacturer,price_buy,is_match
38477,10011646,38477,Linksys EtherFast 8-Port 10/100 Switch - EZXS88W,Linksys EtherFast 8-Port 10/100 Switch - EZXS88W/ 10/100 Dual-Speed Per-Port/ Perfect For Optimizing 10BaseT And 100BaseTX Hardware On The Same Network/ Speeds Of Up To 200Mbps In Full Duplex Operation/ Eliminate Bandwidth Constraints And Clear Up Bottlenecks,$44.00,10011646,Linksys EtherFast EZXS88W Ethernet Switch - EZXS88W,Linksys EtherFast 8-Port 10/100 Switch (New/Workgroup),LINKSYS,,1
38475,10140760,38475,Linksys EtherFast10/100 5-Port Auto-Sensing Switch - EZXS55W,"Linksys EtherFast10/100 5-Port Auto-Sensing Switch - EZXS55W/ 5 Port 10/100 Autosensing Ports With Both Half And Full Duplex Modes/ Perfect For Integrating Your 10BaseT And 100BaseTX Network Hardware/ Switched 10/100 Ports Run At 10Mbps, 20Mbps, 100Mbps Up To 200Mbps",$29.00,10140760,Linksys EtherFast EZXS55W Ethernet Switch,5 x 10/100Base-TX LAN,LINKSYS,,1
33053,10221960,33053,Netgear ProSafe 5 Port 10/100 Desktop Switch - FS105,Netgear ProSafe 5 Port 10/100 Desktop Switch - FS105/ 5 Auto Speed-Sensing 10/100 UTP Ports/ Embedded Memory,$40.00,10221960,Netgear ProSafe FS105 Ethernet Switch - FS105NA,NETGEAR FS105 Prosafe 5 Port 10/100 Desktop Switch,Netgear,,1
27248,10246269,27248,Belkin F3H982-10 Pro Series High Integrity 10 Feet Monitor Cable - F3H98210,Belkin F3H982-10 Pro Series High Integrity 10 Feet Monitor Cable - F3H98210/ Recommended For Monitors 17' And Larger/ Designed To Support High Resolution Imaging And High Speed/ Double Shielding/ Gold Plated Copper Contacts,,10246269,Belkin Pro Series High Integrity VGA/SVGA Monitor Extension Cable - F3H982-10,1 x HD-15 - 1 x HD-15 - 10ft - Beige,Belkin,,1
25262,10315184,25262,Netgear Prosafe 16 Port 10/100 Rackmount Switch - Black Finish - JFS516NA,"Netgear Prosafe 16 Port 10/100 Rackmount Switch - JFS516NA/ Sixteen Switched Ports Provide Private Bandwidth For PCs, Servers Or Hubs/ Store-And-Forward Packet Switching/ Compatible With All Major Network Software/ Auto Detects Speed And Duplex/ Black Finish",$131.00,10315184,Netgear ProSafe JFS516 Ethernet Switch,Netgear ProSafe 16 Port 10/100 Rackmount Switch- JFS516NA,Netgear,,1
36260,10316920,36260,LaCie USB 2.0 Floppy Disk Drive - 706018,LaCie USB 2.0 Floppy Disk Drive - 706018/ Ultra-Thin Portable Design/ Compatible With Windows And Mac OS/ Plug And Play/ USB Powered/ 250 - 500 kbps Transfer Rate/ Silver Finish,$49.00,10316920,LaCie Pocket Floppy Disk Drive - 706018,LaCie Pocket USB Floppy 1.44 MB,LACIE,,1
35810,10326220,35810,Canon KP-36IP Color Ink & Paper Set - 7737A001,Canon KP-36IP Color Ink & Paper Set - 7737A001/ 36 Sheets Of 4' x 6' Photo Paper/ Ink Cartridge For Compatible Canon Dye Sublimation Printer,$12.00,10326220,Canon KP 36IP Print Cartridge / Paper Kit - 7737A001,36 Page 4' x 6',Canon,$9.99,1
32034,10333368,32034,Kensington Orbit Optical Trackball Mouse - 64327,Kensington Orbit Optical Trackball Mouse - 64327/ DiamondEye Optical Technology For Precise Tracking And Cursor Control/ USB And PS/2 Connectivity For Greater Compatibility/ Windows And Mac Compatible/ Metallic Silver And Black Finish,$38.00,10333368,Kensington Orbit Optical Trackball - USB w/PS2 Adapter - 64327,"Optical - USB, PS/2",Kensington,,1
38473,10333846,38473,Linksys EtherFast4116 16-Port 10/100 Ethernet Switch - EF4116,Linksys EtherFast4116 16-Port 10/100 Ethernet Switch - EF4116/ 16 Autosensing 10/100 Full Duplex Auto MDI/MDI-X Ports/ Run Blazing Speeds Up To 200Mbps/ Address Learning And Aging And Data Flow Control,$79.00,10333846,Linksys EtherFast EF4116 Ethernet Switch,16 x 10/100Base-TX LAN,LINKSYS,,1
23686,10333848,23686,Linksys EtherFast 4124 24-Port Ethernet Switch - EF4124,"Linksys EtherFast 4124 24-Port Ethernet Switch - EF4124/ 24 Autosensing 10/100 Full Duplex, Auto MDI/MDI-X Ports/ Up To 200Mbps/ Address Learning, Aging And Data Flow Control/ Compact Size",$119.00,10333848,Linksys EtherFast EF4124 Ethernet Switch,24 x 10/100Base-TX LAN,LINKSYS,$64.99,1
